"picture_uuid"	"target_uuid"	"picture_name"	"picture_description"	"picture_link"
"9eade8a4d0c1435191df92712854e972"	"538730dd5bbd41bebb1820a7189d3431"	"新鲜红肉蜜柚2个装约6斤"	"新鲜红肉蜜柚2个装约6斤"	"http://mall.grcbank.com/TopMall/goods/G320000079/G320000079_L3.jpg"
"b11be2e0f7744a008f6c79b5cc5ddab8"	"2d5c5c27a05f4440993e6b5e6dbbe0cd"	"极品铁棍山药"	"极品铁棍山药"	"http://mall.grcbank.com/TopMall/goods/G310000034/G310000034_L3.jpg"
"b2ecabdbe43b48e9a6d448cfe4a01c04"	"1254a54cf49c45609ae2400fdcfcfa26"	"蔬菜经典套餐A"	"蔬菜经典套餐A"	"http://mall.grcbank.com/TopMall/goods/G310000026/G310000026_L4.jpg"
"b5f5139ee7ff448a86b528ee9555d42f"	"10f8d4ae6078477caeb6c36eafad7ea8"	"黄秋葵"	"黄秋葵"	"http://mall.grcbank.com/TopMall/goods/G310000033/G310000033_L1.jpg"
"b788034630354e42bae215ef26e16654"	"10f8d4ae6078477caeb6c36eafad7ea8"	"黄秋葵"	"黄秋葵"	"http://mall.grcbank.com/TopMall/goods/G310000033/G310000033_L3.jpg"
"bb913af6de884e37a416c9e4d593bd11"	"87dd30003bac4315bda73475f8ebb1c8"	"青海黑金刚紫土豆"	"青海黑金刚紫土豆"	"http://mall.grcbank.com/TopMall/goods/G310000001/G310000001_L2.jpg"
"bf6416cb091742e9a111d24a978dbc31"	"eb671ca2c42046418b9cb9068f79b170"	"粤宝银条500克"	"粤宝银条500克"	"http://mall.grcbank.com/TopMall/goods/G140000007/G140000007_L2.jpg"
"c29d967ff5274deca46d166aa37c4f8f"	""	"首页活动1"	"首页活动1"	"http://xiangce.baidu.com/picture/detail/0b426fd48b5c82da827cfcaef974902b5760a043#8c0dc8cc32e7bcbc01b96b139dd3d0ed06bc5943"
"cb514ec1073540f5856243fa61e59fee"	"538730dd5bbd41bebb1820a7189d3431"	"新鲜红肉蜜柚2个装约6斤"	"新鲜红肉蜜柚2个装约6斤"	"http://mall.grcbank.com/TopMall/goods/G320000079/G320000079_L1.jpg"
"ccc6dee46ddd497c904f501ac47fec16"	"538730dd5bbd41bebb1820a7189d3431"	"新鲜红肉蜜柚2个装约6斤"	"新鲜红肉蜜柚2个装约6斤"	"http://mall.grcbank.com/TopMall/goods/G320000079/G320000079_L2.jpg"
"ced51b3caf874034a3bd4920350e5ce5"	"eb671ca2c42046418b9cb9068f79b170"	"粤宝银条500克"	"粤宝银条500克"	"http://mall.grcbank.com/TopMall/goods/G140000007/G140000007_L1.jpg"
"cfadc1fa44184895a9ea4c39666dcff9"	"1e8558236b324570b0378ca5ecb7ff63"	"美泰乐金条1000克"	"美泰乐金条1000克"	"http://mall.grcbank.com/TopMall/goods/G110000004/G110000004_L1.jpg"
"d0d7615a43a542e985771d334f38cbfe"	""	"首页活动2"	"首页活动2"	"http://g.hiphotos.bdimg.com/album/s%3D1400%3Bq%3D90/sign=7fbc80106e061d957946333c4bc431a0/ca1349540923dd5480f35e40d109b3de9c824812.jpg"
"d672a6b815bc4a848d495c96e5d11108"	"538730dd5bbd41bebb1820a7189d3431"	"新鲜红肉蜜柚2个装约6斤"	"新鲜红肉蜜柚2个装约6斤"	"http://mall.grcbank.com/TopMall/goods/G320000079/G320000079_L4.jpg"
"d7e038958fa84bac808b670d1ae8f146"	"850dc85f2b994c07a939a6bb662cecab"	"粤宝金投资金条100克"	"粤宝金投资金条100克"	"http://mall.grcbank.com/TopMall/goods/G120000003/G120000003_L3.jpg"
"dfe2b5b18e2d4d289a1c0110f585264d"	"1e8558236b324570b0378ca5ecb7ff63"	""	""	"http://mall.grcbank.com/TopMall/goods/G110000003/G110000003_L1.jpg"
"e492ce6b0f6c46d792cb22f50a645f1e"	"87dd30003bac4315bda73475f8ebb1c8"	"青海黑金刚紫土豆"	"青海黑金刚紫土豆"	"http://mall.grcbank.com/TopMall/goods/G310000001/G310000001_L3.jpg"
"e49fac905f3b437da7030f2587c135d9"	"2b4b4cf5a66d442d8c583cc0ceeb2e5d"	"“福”字投资金条1克"	"“福”字投资金条1克"	"http://mall.grcbank.com/TopMall/goods/G130000003/G130000003_L3.jpg"
"f53f2523d0704bc594e4d9a2d72ce27e"	"2d5c5c27a05f4440993e6b5e6dbbe0cd"	"极品铁棍山药"	"极品铁棍山药"	"http://mall.grcbank.com/TopMall/goods/G310000034/G310000034_L1.jpg"
"f5c0c5620ab947e0a943c0a846d8ae8c"	"aa357f968c2a4881bc1205564422a837"	"迷你南瓜（4个装）"	"迷你南瓜（4个装）"	"http://mall.grcbank.com/TopMall/goods/G310000032/G310000032_L1.jpg"
"f9183a1b6e904aa5aada9d5c3e75ca0a"	"10f8d4ae6078477caeb6c36eafad7ea8"	"黄秋葵"	"黄秋葵"	"http://mall.grcbank.com/TopMall/goods/G310000033/G310000033_L2.jpg"
"fed8027f30dd4cb3a89d1f5cb6469f19"	"87dd30003bac4315bda73475f8ebb1c8"	"青海黑金刚紫土豆"	"青海黑金刚紫土豆"	"http://mall.grcbank.com/TopMall/goods/G310000001/G310000001_L1.jpg"
